active_healthy_thr,auto_baseline,avg_active,avg_conf_gain,avg_mask_nz,avg_new,baseline_every_s,clahe_clip,clahe_tile_h,clahe_tile_w,dead_val,decay_pixel,decay_tile,delta_thresh,ewma_alpha,fps,frames,freeze_margin,global_min_edges,global_min_lap,grid_x,grid_y,healthy_deactivate,hot_val,init_min_score,limit_resolution,max_h,max_w,min_tile_area,ok,persist_mask_thr,persistence_hi,pixel_mask_decay,ratio_contr,ratio_edge,ratio_lap,score,seq_len,start_with_grid,trial,var_thresh,weather_on,yolo_conf,yolo_iou
0.09,1,2.2,0.012313466090708972,0.10833333333333334,0.05,120.0,2.0,-1,12,8,0.97,0.98,30,0.06,5.8905147969322345,120,0.77,0.042,28.4,8,6,20,240,0.7,1,720,960,256,True,0.73,0.66,0.96,0.73,0.54,0.62,-0.05395160028797884,30,1,18,1.75,0,0.23,0.46
0.16,0,8.141666666666667,0.032586955194553686,17.5,0.175,45.0,2.0,8,-1,10,0.98,0.93,20,0.24,0.7939354504480325,120,0.78,0.01,38.5,8,6,60,245,0.8,0,540,640,256,True,0.63,0.73,0.981,0.75,0.52,0.54,-0.23328985573605657,20,0,19,2.22,1,0.21,0.49
0.17,0,7.8,0.025903581486394007,0.0,0.225,45.0,2.5,-1,12,5,0.98,0.89,20,0.1,5.292709871052862,120,0.88,0.07,30.9,8,6,60,240,0.95,1,540,640,400,True,0.71,0.8,0.948,0.73,0.54,0.64,-0.1520482092568031,40,1,20,1.94,0,0.21,0.5
0.19,1,5.608333333333333,0.027113800185422098,0.0,0.016666666666666666,240.0,-1.0,-1,8,5,0.99,0.91,20,0.09,0.8346904680111439,120,0.86,0.088,29.6,8,6,20,245,0.95,1,720,640,400,True,0.73,0.75,0.979,0.73,0.55,0.6,-0.2501930999072886,40,1,21,3.23,1,0.33,0.56
0.11,0,8.491666666666667,0.024507203198496308,1.8916666666666666,0.26666666666666666,240.0,2.5,12,8,15,0.96,0.91,30,0.19,6.571301958032415,120,0.82,0.077,14.9,8,6,30,250,-1.0,0,540,1280,256,True,0.59,0.88,0.961,0.75,0.5,0.56,-0.1475547317340853,30,0,22,1.26,0,0.19,0.46
0.12,0,0.49166666666666664,0.0037759969631830843,0.0,0.025,45.0,2.5,-1,-1,8,0.96,0.96,20,0.06,7.295437830721786,120,0.88,0.075,32.5,8,6,50,250,0.95,1,720,1280,300,True,0.61,0.79,0.943,0.79,0.58,0.63,0.0023046651482582048,30,0,23,3.48,1,0.35,0.46
0.22,0,9.025,0.02901213557355934,0.09166666666666666,0.15833333333333333,60.0,2.5,-1,8,8,0.98,0.93,30,0.1,6.606221131870478,120,0.86,0.046,20.1,8,6,60,240,0.8,0,540,960,300,True,0.57,0.74,0.95,0.91,0.64,0.51,-0.2785022655465536,30,1,24,2.43,0,0.28,0.56
0.11,0,7.566666666666666,0.019892407303882968,2.558333333333333,0.14166666666666666,120.0,2.5,8,-1,15,0.97,0.95,20,0.06,6.414504395461167,120,0.79,0.113,39.9,8,6,30,240,0.7,0,800,1280,400,True,0.61,0.79,0.938,0.65,0.6,0.58,-0.22927879634805873,20,0,25,2.75,0,0.32,0.56
0.21,1,7.666666666666667,0.023606306064046092,0.0,0.26666666666666666,120.0,-1.0,12,-1,5,0.97,0.94,15,0.08,5.832283593354705,120,0.75,0.069,24.4,8,6,30,240,-1.0,0,540,960,600,True,0.65,0.84,0.949,0.94,0.54,0.54,-0.10486351363464361,20,1,26,2.23,0,0.23,0.49
0.23,1,9.625,0.029066979007588485,51.325,0.2833333333333333,60.0,2.5,8,-1,12,0.96,0.92,15,0.21,5.137735860978502,120,0.87,0.097,17.6,8,6,20,240,-1.0,1,480,960,256,True,0.6,0.84,0.969,0.92,0.48,0.59,-0.23470817716287243,30,0,27,1.72,0,0.21,0.49
