active_healthy_thr,auto_baseline,avg_active,avg_conf_gain,avg_mask_nz,avg_new,baseline_every_s,clahe_clip,clahe_tile_h,clahe_tile_w,dead_val,decay_pixel,decay_tile,delta_thresh,ewma_alpha,fps,frames,freeze_margin,global_min_edges,global_min_lap,grid_x,grid_y,healthy_deactivate,hot_val,init_min_score,limit_resolution,max_h,max_w,min_tile_area,ok,persist_mask_thr,persistence_hi,pixel_mask_decay,ratio_contr,ratio_edge,ratio_lap,score,seq_len,start_with_grid,trial,var_thresh,weather_on,yolo_conf,yolo_iou
0.21,1,3.25,0.006957764704194334,0.0,0.125,60.0,2.5,-1,-1,8,0.98,0.91,25,0.1,7.8407224880930615,120,0.81,0.032,28.1,8,6,20,240,0.8,1,720,1280,300,True,0.51,0.78,0.93,0.8,0.63,0.53,-0.034021117647902825,30,1,1,3.3,0,0.2,0.59
0.1,0,0.0,0.0,0.0,0.0,45.0,2.0,12,8,12,0.94,0.95,20,0.06,8.039343414954303,120,0.82,0.012,32.3,8,6,50,238,-1.0,1,800,800,256,True,0.7,0.83,0.96,0.95,0.47,0.46,0.0,30,1,2,1.26,0,0.23,0.6
0.24,1,3.683333333333333,0.00307263753687342,0.0,0.075,60.0,-1.0,12,12,8,0.95,0.92,20,0.09,7.9720119159698575,120,0.91,0.012,17.5,8,6,50,250,0.8,0,540,640,400,True,0.7,0.81,0.981,0.74,0.47,0.52,-0.10763034789822998,30,0,3,3.3,0,0.22,0.59
0.16,1,4.658333333333333,0.005078561955855951,0.0,0.09166666666666666,45.0,-1.0,12,8,8,0.97,0.89,12,0.12,3.5828007618267064,120,0.91,0.015,25.2,8,6,30,238,0.8,1,720,960,256,True,0.63,0.61,0.981,0.72,0.62,0.48,-0.1387107190220721,30,0,4,2.4,1,0.3,0.48
0.16,0,4.15,0.00839675164884991,0.0,0.1,60.0,2.5,-1,-1,5,0.95,0.91,12,0.21,7.578566023553617,120,0.81,0.065,19.7,8,6,20,240,0.7,0,720,640,256,True,0.52,0.79,0.982,0.69,0.6,0.62,-0.10330162417557504,30,1,5,1.3,0,0.2,0.53
0.08,1,3.066666666666667,0.006617289901607567,0.0,0.14166666666666666,60.0,2.5,-1,-1,5,0.98,0.92,20,0.05,7.780140941611699,120,0.86,0.046,35.7,8,6,60,240,0.7,1,540,640,300,True,0.51,0.63,0.971,0.66,0.45,0.62,-0.008358021715862881,40,1,6,3.32,0,0.19,0.59
0.13,1,0.0,0.0,0.0,0.0,120.0,2.0,8,8,12,0.98,0.96,15,0.06,3.753820476165896,120,0.75,0.064,22.4,8,6,30,238,0.95,1,540,960,600,True,0.69,0.66,0.968,0.83,0.57,0.51,0.0,20,0,7,1.99,1,0.26,0.58
0.08,0,0.0,0.0,0.0,0.0,120.0,2.5,-1,-1,15,0.98,0.94,12,0.16,7.731479530767862,120,0.84,0.092,21.0,8,6,30,240,0.9,0,480,960,600,True,0.58,0.68,0.991,0.84,0.6,0.55,0.0,30,0,8,2.19,0,0.35,0.54
0.16,1,5.516666666666667,0.03545404660205046,0.0,0.10833333333333334,45.0,2.5,-1,12,5,0.95,0.88,25,0.09,3.7004670236433133,120,0.92,0.102,8.5,8,6,30,250,0.9,0,480,800,300,True,0.66,0.75,0.939,0.78,0.59,0.48,-0.14977297669897477,20,1,9,2.44,1,0.4,0.53
0.13,1,5.841666666666667,0.007902253781341843,0.0,0.11666666666666667,240.0,2.0,8,-1,12,0.98,0.92,30,0.21,3.698020034838866,120,0.9,0.03,8.8,8,6,20,250,0.8,1,800,800,300,True,0.71,0.6,0.949,0.9,0.56,0.65,-0.17146553977599577,20,0,10,2.77,1,0.22,0.5
