active_healthy_thr,auto_baseline,avg_active,avg_conf_gain,avg_mask_nz,avg_new,baseline_every_s,clahe_clip,clahe_tile_h,clahe_tile_w,dead_val,decay_pixel,decay_tile,delta_thresh,ewma_alpha,fps,frames,freeze_margin,global_min_edges,global_min_lap,grid_x,grid_y,healthy_deactivate,hot_val,init_min_score,limit_resolution,max_h,max_w,min_tile_area,ok,persist_mask_thr,persistence_hi,pixel_mask_decay,ratio_contr,ratio_edge,ratio_lap,score,seq_len,start_with_grid,trial,var_thresh,weather_on,yolo_conf,yolo_iou
0.23,0,0.0,0.0,0.0,0.0,45.0,2.0,12,8,12,0.99,0.92,12,0.06,7.4732206729865505,120,0.82,0.031,21.5,8,6,60,238,0.8,1,540,640,400,True,0.58,0.64,0.966,0.86,0.6,0.52,0.0,40,1,19,1.72,0,0.29,0.45
0.2,1,0.0,0.0,0.0,0.0,120.0,2.5,8,8,5,0.96,0.93,12,0.07,7.521187670963939,120,0.76,0.09,12.1,8,6,50,250,0.9,1,800,960,300,True,0.75,0.67,0.985,0.65,0.61,0.51,0.0,40,1,20,2.75,0,0.38,0.51
0.19,1,0.0,0.0,0.0,0.0,60.0,-1.0,12,-1,12,0.94,0.9,12,0.09,7.5948929525609365,120,0.78,0.1,29.6,8,6,20,238,0.8,0,720,1280,256,True,0.54,0.85,0.931,0.61,0.65,0.57,0.0,20,0,21,1.36,0,0.34,0.56
0.09,1,0.0,0.0,0.0,0.0,60.0,2.0,8,12,15,0.96,0.92,15,0.19,7.670957339336389,120,0.91,0.117,35.9,8,6,50,250,0.9,1,480,960,400,True,0.62,0.76,0.934,0.69,0.54,0.58,0.0,30,1,22,3.35,0,0.23,0.53
0.09,1,12.383333333333333,0.02000135723501444,0.0,0.05,120.0,2.0,12,12,5,0.96,0.93,20,0.17,3.6642701610181057,120,0.9,0.035,16.4,8,6,30,250,0.9,1,720,960,256,True,0.57,0.65,0.973,0.69,0.51,0.57,-0.5591659880491596,40,0,23,2.95,1,0.36,0.5
0.11,0,18.475,0.013577870583782597,0.0,0.14166666666666666,45.0,2.0,8,12,5,0.98,0.88,25,0.18,3.6383403925162923,120,0.92,0.046,23.6,8,6,30,238,0.9,0,480,1280,256,True,0.73,0.62,0.958,0.79,0.54,0.62,-0.7752943980414425,40,1,24,3.4,1,0.22,0.57
0.15,0,22.375,0.013047253386014038,0.0,0.16666666666666666,60.0,2.0,-1,-1,12,0.99,0.89,30,0.25,3.61213505012809,120,0.81,0.011,32.3,8,6,60,240,-1.0,1,720,640,256,True,0.61,0.61,0.938,0.7,0.52,0.6,-0.9455597066403258,20,0,25,2.46,1,0.21,0.48
0.09,1,6.116666666666666,0.004020380737880865,0.0,0.016666666666666666,60.0,-1.0,8,-1,8,0.99,0.97,15,0.22,3.7114574300332803,120,0.79,0.032,39.3,8,6,50,250,0.8,1,800,1280,400,True,0.61,0.75,0.986,0.91,0.59,0.58,-0.28715647629772606,20,0,26,2.07,1,0.26,0.59
0.24,1,8.516666666666667,0.011761401159067951,0.0,0.041666666666666664,60.0,2.0,12,8,8,0.97,0.97,30,0.06,3.5804679738231044,120,0.91,0.014,13.6,8,6,60,240,0.8,1,480,960,400,True,0.64,0.71,0.996,0.71,0.46,0.63,-0.37828596608713266,40,1,27,2.44,1,0.3,0.57
0.12,0,17.6,0.014693801736252173,0.0,0.15,60.0,2.0,12,-1,15,0.95,0.94,20,0.07,3.341981054197356,120,0.78,0.092,23.9,8,6,60,250,-1.0,1,800,1280,300,True,0.63,0.72,0.992,0.87,0.56,0.61,-0.722653099131875,30,1,28,2.77,1,0.22,0.55
0.22,1,8.975,0.007533018423451317,0.0,0.075,60.0,-1.0,8,12,8,0.96,0.94,25,0.1,3.46218139851136,120,0.77,0.103,15.5,8,6,20,240,0.95,1,800,640,256,True,0.67,0.83,0.992,0.88,0.63,0.47,-0.36998349078827436,40,0,29,3.22,1,0.21,0.51
0.22,1,0.0,0.0,0.0,0.0,240.0,-1.0,8,12,5,0.94,0.91,12,0.11,7.285254821633549,120,0.79,0.016,17.3,8,6,30,238,0.7,0,720,1280,400,True,0.65,0.81,0.962,0.75,0.45,0.47,0.0,40,0,30,2.99,0,0.33,0.56
0.09,1,19.375,0.03147338045140107,0.0,0.125,120.0,2.0,12,8,5,0.96,0.88,25,0.18,3.529400776036034,120,0.88,0.043,9.5,8,6,20,245,0.8,1,540,1280,400,True,0.7,0.7,0.945,0.65,0.62,0.57,-0.8280133097742997,20,1,31,3.04,1,0.34,0.52
0.09,0,14.15,0.008774515862266222,0.0,0.016666666666666666,60.0,2.5,8,-1,8,0.94,0.89,15,0.17,3.6608187952866023,120,0.76,0.032,33.5,8,6,20,250,0.95,1,480,1280,256,True,0.59,0.74,0.996,0.79,0.6,0.56,-0.6864460754022008,40,0,32,1.53,1,0.35,0.52
0.16,0,12.425,0.006842809170484543,0.0,0.016666666666666666,60.0,-1.0,-1,8,8,0.98,0.92,15,0.24,3.64685552335065,120,0.76,0.032,37.6,8,6,50,240,0.9,1,800,800,256,True,0.71,0.62,0.989,0.91,0.53,0.64,-0.6011619287480908,30,1,33,1.34,1,0.35,0.5
0.21,1,9.033333333333333,0.018126271780994203,0.0,0.09166666666666666,240.0,2.5,12,12,8,0.99,0.93,12,0.17,3.52111169294572,120,0.84,0.057,26.9,8,6,30,245,0.95,0,480,1280,256,True,0.55,0.66,0.965,0.72,0.59,0.5,-0.3509368641095027,20,0,34,2.46,1,0.26,0.46
0.09,0,0.0,0.0,0.0,0.0,45.0,2.0,8,12,12,0.94,0.96,25,0.24,7.1310247978545345,120,0.78,0.076,26.4,8,6,60,240,0.9,0,720,800,300,True,0.63,0.62,0.945,0.74,0.49,0.6,0.0,20,0,35,2.77,0,0.32,0.48
0.23,1,0.0,0.0,0.0,0.0,60.0,2.0,8,-1,8,0.98,0.89,15,0.22,7.309013687941764,120,0.77,0.052,9.3,8,6,50,238,0.9,1,800,640,300,True,0.63,0.85,0.962,0.71,0.54,0.64,0.0,20,0,36,1.62,0,0.23,0.53
0.24,0,16.458333333333332,0.007455366146233346,0.0,0.041666666666666664,60.0,-1.0,-1,12,15,0.97,0.93,15,0.21,3.4963030254770864,120,0.78,0.023,8.8,8,6,50,245,-1.0,0,800,800,600,True,0.53,0.79,0.94,0.91,0.51,0.53,-0.7775223169268836,30,0,37,2.08,1,0.35,0.47
0.09,0,0.0,0.0,0.0,0.0,240.0,2.5,8,-1,12,0.98,0.97,30,0.09,7.223920259143231,120,0.8,0.019,30.6,8,6,20,240,0.8,1,480,960,600,True,0.63,0.7,0.992,0.83,0.6,0.47,0.0,20,1,38,2.37,0,0.29,0.52
0.21,1,19.041666666666668,0.010316420284410316,0.0,0.08333333333333333,240.0,-1.0,12,-1,15,0.95,0.92,15,0.22,3.549510460042961,120,0.79,0.087,22.0,8,6,50,240,0.7,0,480,960,256,True,0.52,0.64,0.971,0.67,0.46,0.52,-0.8635917898577955,40,0,39,1.29,1,0.25,0.58
0.17,1,11.0,0.01669294881737894,0.0,0.05,120.0,2.5,12,-1,8,0.97,0.94,25,0.05,3.6642112062266223,120,0.77,0.013,35.0,8,6,60,240,0.9,0,800,800,256,True,0.55,0.75,0.946,0.69,0.64,0.61,-0.49165352559131115,20,1,40,2.51,1,0.33,0.54
0.19,1,0.0,0.0,0.0,0.0,60.0,2.5,12,12,10,0.98,0.96,12,0.07,7.4643716208158715,120,0.87,0.044,11.6,8,6,30,240,0.95,0,480,1280,256,True,0.63,0.89,0.981,0.64,0.59,0.52,0.0,40,1,41,1.46,0,0.31,0.53
